barcode01	IB278_rep1	Baja
barcode02	IB278_rep2	Baja
barcode03	IB288	Baja
barcode04	IB291	Baja
barcode05	IB285	Alta
barcode06	OAC103	Baja
barcode07	OAC106	Baja
barcode08	OAC111	Alta
barcode09	MWB161	Alta
barcode10	MWB163	Alta
barcode11	MWB213_rep1	Alta
barcode12	MWB213_rep2	Alta
barcode13	MWB160	Baja
barcode14	MWB162	Baja
barcode15	MWB165	Baja
barcode16	MWB204	Baja
barcode17	OAL104_rep1	Baja
barcode18	OAL104_rep2	Baja
barcode19	OAL101	Alta
barcode20	OAL112	Alta
